userName,content,score,at
Marlynha Khaidir,Gamenya suka sekali tapi pengisian energinya yang lama. 😔,5,2020-11-09 12:03:04
Hari Subakti,Gamenya bagus tapi lama banget isi energinya dan cepet banget habisnya,4,2020-11-07 00:36:28
RICKY FANS MISTERY,Bagus bangett lanjutkan yahh,5,2020-11-06 15:58:32
Rizky K Saputra,More energy please,1,2020-10-30 12:21:52
Ratih Puspitaningtias,Great game. Beautiful graphics. Intelligence required. I love it!!!,5,2020-10-29 01:23:33
Yuni erna Lianti,Permaian ini limayan bagus,5,2020-10-23 23:30:09
Rizki Mu,Jangan terlalu mahal utk energy nya,5,2020-10-22 14:55:48
F Lisa,Sangat bagus dan menyenangkan tapi ada masalah di energi yang cepet abis terus ngisinya juga lama banget tolonglah di percepat ngisi energi nya,5,2020-10-22 02:59:26
Yaved Firmansyah,The Energy Fill bar is take to long time to fill it. but the story good to follow,4,2020-10-21 18:13:33
Gemung Sunyoto,Ku kasi full .,5,2020-10-21 14:19:06
Ludtfhi Aries,Inni untuk developer nya game nya bagus seru dan saya kasih bintang 5 tp untuk mengisi energi nya terlalu lama. Aku mohon untuk admin dan developer nya kalau untuk mengisi energi nya supaya lebih cepat sedikit.,5,2020-10-21 09:24:37
Anin Pratika,Ceritanya bagus dan bikin kemampuan berbahasa inggris meningkat,5,2020-10-21 06:06:18
niko darmansyah,Hehe,5,2020-10-20 12:21:15
Rizki Agustiana Μξ.ρΓο.δαΜεΓζ,Nice Game,5,2020-10-18 07:50:53
Tini Surtini,Same like others,4,2020-10-16 07:06:09
miftahun nafisah,"Saya kasih 4 bintang yaa.. Game nya bagus, tapi ngisi dayanya lamaaaa banget, terus habisnya juga cepet banget..",4,2020-10-15 02:16:42
Troy Stewart,Sangat menghibur,5,2020-10-13 12:08:22
M Zaid Zaidan,"the whole is good, but for charging the energy too long",4,2020-10-11 00:37:45
Azzura Hasibuan,Game nya bagus tp sayang energi nya lama terkumpul...,3,2020-10-09 11:44:00
aay wardain,Sayang sekali game keren kayak gini penggunaan energinya mkin ndak jelas sudah sampai dicerta the heir penggunaan energi betul.betul tidak seperti chapter 1...padahal ini gam terbaik,3,2020-10-09 06:52:31
Delita Asterina Tarigan,Energy nya buset lama banget,1,2020-10-09 00:41:22
Rich Man,Ee',2,2020-10-08 22:48:46
Tri Warningsih,Aku kasih bintang 4 aja ya karena lodiang energi nya lama banget tapi game nya seru kok👍🙃,4,2020-10-08 17:14:16
pemburu bahagia,Bagus,5,2020-10-08 07:39:53
Posa Paulina,Mantap Sangat bagus,5,2020-10-07 04:23:09
Andik Kz,Aku beri bintang 1 karna aku belum mencoba ko,1,2020-10-07 03:01:32
Faqih Izzulhaq,"Seperti ulasan lainnya, pengisian energinya terlalu lama, tapi untuk cerita dan permainannya sangat bagus",4,2020-10-07 00:30:22
kurniadi cevi,ok,4,2020-10-05 12:05:36
fasihatuljanahgenQ,Bagus,5,2020-10-05 07:14:05
Mk anam,Ok,5,2020-10-04 16:34:40
ishaq chandra,mantap bos...saya coba pecahkan teki teki ini,4,2020-10-04 09:39:29
ridwan madepp,wawan wawa,5,2020-10-04 09:01:11
sunardi 1945,"Seru, tapi lama ngumpulin tenaganya, apa ada cara lain biar dapet tenaga tanpa harus beli",5,2020-10-04 06:36:09
Nova Nita,I like is game murder in the alps,5,2020-10-04 04:39:14
Tegar Pambudi,Good game,5,2020-10-03 16:54:04
Tedy,Perfect game!!,5,2020-10-03 11:27:44
Endah Sri Subekti,Tje most entertaining game,5,2020-10-01 15:50:21
evelyna navytri,Energi nya lamaaaaaa:(,3,2020-10-01 11:25:58
Galuh Ajeng Dhiastriani,Great,5,2020-09-30 12:23:25
Parlinggoman Pakpahan,maaf yah masih dua bintang nya soalnya masih baru nanti klo udh bagus ku tambahin deh bintangnya 😁😁😁,2,2020-09-30 07:13:16
Bagus Kurniawan,Nice game Good we can interrect,5,2020-09-29 08:06:55
Putri Parwani,Nice,5,2020-09-28 05:01:05
Nurleli Irwan,The graphics are great ^^,5,2020-09-27 23:15:12
Udin Bahrudin,Menegangkan,5,2020-09-27 11:35:09
Jonathan Widersen,I hope there's chapter 4 on season 1 coming out.,5,2020-09-24 13:39:01
bakul sego,"Bagus permainannya,cuma tenaganya lama penuh dan penggunaan terlalu memakan banyak tenaga",4,2020-09-16 15:14:51
Ayet,Gamenya sangat bagus. Bisa sambil blajar bahasa inggris. Alurnya jg ok,5,2020-09-16 12:20:20
Tere Abdullah,Really really awesome !! I love it !! I wish another new game like this.,5,2020-09-16 07:36:33
Edwin End25,Masih nyobain,4,2020-09-13 10:21:30
Ummy,Game murder terkeren yg pernah aku mainkan. Aku sudah tamat.... Ditunggu seri berikutnya,5,2020-09-13 08:24:45
Tasya salsabila,"Grafiknya bagus banget, alur ceritanya juga. Suka. Gak ada iklan buat dapetin hint atau tiba-tiba muncul iklan random gak ada. Gak kayak game sebelah. Cuma kekurangannya ya di energi, butuh waktu lamaaaaa banget buat dapetin energi dan buat main butuh banyak energi",5,2020-09-10 11:57:55
Adi Junior,Okeeee,5,2020-09-09 19:03:25
grace nirahua,Gamenya menarik ... ngga macet ... Loadingnya cepet ....,3,2020-09-08 09:21:49
follow me jack,"Maaf sebelum nya,,baru sekali main udah parah,server ga respon...padahal signal lagi bagus²nya,yg lain ok² aja..tolong donk diperbaiki,,mau main disuruh nunggu 15mnt dlu..lebih malah",1,2020-09-07 11:06:57
Luthfi Furqan Hidayah,Server not responding. Why?,1,2020-09-07 10:32:17
tv_fidya Fidya,Aplikasi taiiiiii kok aku ngk bisa masuk sihh..beri penjelasan knapa saya tidak bisa masuk.... 🤬🤬🤬🤬🤬,2,2020-09-04 00:01:12
Santi Fsetia,Great,1,2020-08-31 13:46:44
yanuar widodo,AMAZING,5,2020-08-31 05:38:56
Joko Briyandewo,"alur ceritanya bagus, grafis bagus, latar musik juga pas. sangat seru gamenya. hanya energinya cepat habis. dan harganya mahal kalau mau beli energi.",5,2020-08-30 18:17:14
Greis Beo,Seru banget gamenya cerita per chapternya menarik...😍😍 Update dong chapter yang coming soon-nya The best-lah game ini 😁👍🤗,5,2020-08-29 01:24:21
Nanda Suchfi Hidayat,Next Chapter kapan ni...,5,2020-08-28 16:44:28
Yoanna Naa,"Seru bngt, tp energinya cpet bngt abis",5,2020-08-28 11:24:49
Ardian Gent'Ra,"Pengisian energi tolong dipercepat, lainnya udah bagus semua",3,2020-08-28 07:24:19
Laurentz Anne,"Gamenya udah bagus banget, grafiknya juga joss. Tpi energinya mudah habis, ngisi lama. Tolong pengisian energinya dipercepat",4,2020-08-27 07:58:44
Eka Sagala,"Game nya bagusss bgt,udah lama ga nemu game begini....tp energinya cpt bgt habisss..",5,2020-08-26 11:02:54
Reno Pratama,Mantap,5,2020-08-26 08:29:56
Melinprs,"actually i like this game a lot but energinya cepat banget terkuras habis, untuk grafiknya bagus and smooth",5,2020-08-25 23:28:32
nanang suyadi,Mantap bro..,5,2020-08-21 03:10:16
Alifah Qania Mahardika,interested,5,2020-08-20 05:47:33
Yustisia Mutiananda,Very intriguing.,5,2020-08-18 18:51:38
Ratu Amarelin Fadhilah,It's a really good game😊,5,2020-08-18 09:24:38
reka mulyana,Seru,5,2020-08-17 21:33:36
Supiyah Sumardi,Wih keren dah game ini tapi lot energi nya tambahkan sampai 400 ya,5,2020-08-16 17:47:58
Trisna Alisya,"It's really great to play this game ❤️ can't wait for the coming soon chapter!!!!!!❤️ I really exited with the new chapters, please update as soon as possible, I can't wait any longer!!!! 😭❤️",5,2020-08-11 16:45:10
awani fos,Recharge energinya terlalu lama,4,2020-08-11 07:03:29
Winter Golden,Bagis sekali chapternya,5,2020-08-10 18:27:16
wahyu lens,"Energi cepat habis, satu hari baru full kembali, isi energi gratis nonton iklan hanya 1x dapat 20 energi. Game keren jalan ceritanya bagus jadi penasaran",5,2020-08-09 11:08:37
Mutia Al-Jannah 2219,Seru!!!,5,2020-08-09 00:09:57
Alfiandry Djamuir,Aku belum coba tapi bqgus sekali,5,2020-08-08 02:41:42
XCV 101,Gamw bagus.. Grafik oke.. Cerita menarik dan seru.. Tapi update kapan.. Energy tolong jgn klamaan refill nya juga kalau di update lagi..,5,2020-08-07 23:25:20
Dea Ajja,Game ini cukup seru dan mengasah otak,5,2020-08-06 03:31:21
Ibnu Khanifudin,Josss,5,2020-08-06 02:00:00
Ita Shita,"Bagus, menguji ketelitian",5,2020-08-05 01:09:06
nur salati ulfa,😄🥰🥰🥰🥰,5,2020-08-04 10:49:19
Kossy Minipko,Good,5,2020-08-04 08:04:43
ira indriyani,"Good game😆, videonya kebanyakan rusak diawal kasus 😑",5,2020-08-03 14:26:15
Muhammad Habil Gibran,Keren bgt si,5,2020-08-03 06:33:51
Vidy,Game yg epic,5,2020-07-31 07:09:01
Fedro Alqodim,Salam manis buat family q.....lup u all,3,2020-07-31 01:59:45
Raditya Wahyu Sugiarto,"Greedy bastard. Dari pagi ampe malem yang keisi cuma 20 energy. Pengen beli masa harganya 100-500 ribu. Pencurian tai, mending beli game daripada main sampah ini",1,2020-07-28 15:15:02
irwan trista,Amazing,5,2020-07-27 04:52:39
Gustin Cahya Prasiwi,Good games but unfortunatelly when i started 4th chapter it's only green screen appeare and then closed. Is it only on my device?,5,2020-07-26 13:11:18
Bizzle La Utara,Seruuuuuuuuu,5,2020-07-24 17:03:40
Dens Dimas,Grafik mantap alur gamenya juga keren tapi tolong energi nya jangan mudah abis...tolong diperbaiki lagi supaya energi ga cepat abis jd bs main jangka lama,5,2020-07-24 01:02:03
eko nugroho adi santika,👍,5,2020-07-23 16:08:13
Tri Wulandari,Sukaa,5,2020-07-23 14:04:42
Cleon Novendra,Ngisi energy lama. Cm bs dpake sebentar. Payah,1,2020-07-22 23:43:48
elly hamdali,"Bgs tp ya itu ,hrs pny energy",3,2020-07-22 03:03:12
Alisha Zafira Nugrahaningsih,"grafik dan storyline bagus, tapi terlalu lama mengisi energi",5,2020-07-21 06:03:29
Bryantama Design,Energi terlalu cepat habis,4,2020-07-19 13:17:05
Satrio Gunardi,Bagus ... Ada ceritanya,5,2020-07-18 11:07:46
Rizki Amaliah,"I really like this game but i only give it 2 stars because the energy run out so fast and it really takes long time to recharge, ive been waiting for half a day but i didnt gain new energy. I really appreciate the developer if they would like to fix it. Sorry for bad grammar",2,2020-07-18 09:51:39
Sharfina Anisa,Free energy again please???,4,2020-07-16 03:09:29
ferdinand nathaniel,Nungguin energy nya kelamaanklo bisa dicepetin,3,2020-07-16 00:39:00
Adystie Mutiara,Baguuusssss,5,2020-07-14 10:20:21
Am i cat ?,"Every movement need the energy. Are you kidding me? Or you totaly dead after make this game, this sucker game. So that's why you never answer. Fine",1,2020-07-13 17:53:56
Riyan Ardiansa,"Gamenya bagus... Cuman tolong lebih ditingkatkan di energinya,, cepat habis terus ngisinya lama, jadi bosan di nunggu buat main lagi",4,2020-07-12 22:49:14
rinal sade,Is ok,5,2020-07-12 10:41:34
Andika Yuan Pratama,Game nya bagus. Tapi harus online. Tolong dibuat offline saja,5,2020-07-11 15:18:27
Siti Achyuni Syaqilla,"Game nya bagus, tapi energinya cepet banget abis, klo bisa sih make iklan, jadi setiap satu iklan dapet energi gitu😄 soalnya penasaran banget sama ceritanya😆",5,2020-07-11 08:56:59
Rosy Kurniasih,Game ini oke banget,5,2020-07-10 15:05:09
Udin Banjol,Mantap game,5,2020-07-09 13:49:30
HTS surya,awsome,5,2020-07-09 09:00:27
aini munifah,Game ini sudah bagus tapi energi nya boros dan isi ulang energinya lama,4,2020-07-08 07:10:39
Tond Greg O' Reeus,bagus,5,2020-07-08 01:52:25
Harsono Sutjiadi,Veey nice,5,2020-07-07 16:49:05
miesukangiler,Min kenapa aku main 2 menit ada tulisan server knp ya sama mau masuk ada tulisan no respom,1,2020-07-06 10:47:08
hazelnut mint,"game yang sangat seru dan misterius, bravo. alur yang tidak bisa ditebak, sangat menarik. saya akan terus menantikan karya karya selanjutnya, terimakasih.",5,2020-07-06 00:04:50
Evan Sultanto,Game yang mendidik tentang bahasa,5,2020-07-05 07:50:36
Mega Sriayu,"The best misteri game in adroid mybe? Game ini lumayan mirip sama game konputer favoritku ""The Gifted""",5,2020-07-04 10:18:20
Lala Lele,"Good games, ceritanya seru tapi karena energinya pelit jadi maaf bintangnya pelit juga ya 😁",3,2020-07-02 19:25:46
Akhmad Nabil,Lamaaa nya energy baru penuh ....,3,2020-07-01 08:29:54
Eva Zulaifah,Good,5,2020-06-30 16:46:42
Agung koree,Good,2,2020-06-30 04:09:23
melfida rosita,Game ini bagus cuman ada masalah di pengisian energinya.,5,2020-06-30 02:06:15
ristiani fad,"Sukaaaa bgt sama gamenya cm hadeeeuuuhhh... Nunggu energinya penuh smpe seharian., dipake cm 5 menitan... Harusnya tiap act 1 energi aja kepake. Hadeeuuhhhh.... Beli mahal bgt. 55rb paling bs pke 5 menitan pula..",4,2020-06-29 04:08:19
alfin alfarizy,Seru tapi susah butuh ketelitian,2,2020-06-28 23:50:04
Hanifah A.,4 dulu. Soalnya baru mulai dan chapter satu juga belum selesai tapi udh seru.,4,2020-06-28 13:27:21
Hendra Wijaya,game mantap.... tpi gak ad bhsa indo nya... sya kurang paham story nya...,5,2020-06-27 02:07:35
Okky Chandra,Hmmm.. ok,3,2020-06-26 13:03:42
Auriel Fasa Devindra,kenapa selalu error connection????,4,2020-06-24 17:31:50
Ferry Irawan,"Gamenya bagus tapi baru main energinya sdh habis, bagis tp mainnya sebentar sebentar.",3,2020-06-22 07:01:20
Ummul Khusna,keren okey,5,2020-06-21 16:12:25
Nugista Ayu Ingtyas,Menurutku game ini cukup menarik. Memang awalnya agak kesal soal energinya yang cepat habis dan butuh waktu lama pengisiannya. Tapi setelah main beberapa chapter isi energinya bisa cepat karena nonton iklan. Intinya buat yang masih newbie di game ini harus sabar isi energi😊,4,2020-06-21 12:49:53
nejad khalal faizi,The great game ever!,5,2020-06-21 09:13:02
Pengguna Google,Im waiting for the next update!,5,2020-06-20 16:22:06
Rizal Freedian Arviyatno,"An interesting adventure-puzzle game! Memang energy cepat habis, tapi kita bisa menonton iklan untuk mengisi 20 energy.",4,2020-06-20 13:17:45
Nijam kok,Tenaganya tolong susah,3,2020-06-20 02:24:53
Vera S,Keren,5,2020-06-19 12:07:46
Sitaa Ananda,"Sumpah ini bgs bgt, ada dubbingnya, dialognya keren, karakternya bisa gerak, tapi kenapa energinya cpt bgt habis sih? Ngisi ulangnya lama bgt lagii, aku nunggu dua hari biar full, eh gaada dipke 5 mnit dah hbis:)",4,2020-06-19 09:52:31
Marisa Ulfah,Game ini keren bgt. Sayang bgt energi x terbatas. 🥰,5,2020-06-15 07:24:42
M.Hyuga Neji,"Keren bjir , gua saranin lu liat yt tentang energi nya",5,2020-06-14 17:22:14
Maya Winova,I love this game so much. Best escape adventure story ♡,5,2020-06-14 01:01:23
Indah Utami,"Satu chapter aja seru banget, gimana chapter selanjutnya 😍. Cuma ya sayang sih energinya gampang habis dan kadang ngisi baliknya lama, meskipun sekarang bisa refill pake nonton iklan. Semoga kedepannya ada daily achievment buat energy deh :')",5,2020-06-13 19:48:42
Dhewo Jr,Keren,5,2020-06-12 14:06:19
Caca amir,Sukaaa.. karena ada sound percakapanx,5,2020-06-12 05:09:43
Sumiati Pad,Harus coba,5,2020-06-12 02:10:19
Hendra Setiawan,Energy lama ngisi tapi habisnya cepat.,4,2020-06-12 00:49:50
Tiara,Energi susah banget:(( sisanya oke.,5,2020-06-11 15:18:45
TaufiK Hidayat,Good game but no energy for free,5,2020-06-11 04:51:35
Tia Djulia Adilah,"Gamenya bagus, hanya saja mungkin dalam pengisian energinya di percepat atau ada gratisan energi lewat vidio, terimakasih, terus berkaryaaa",5,2020-06-11 04:16:31
gasjas Aripin,Nice,5,2020-06-11 03:21:54
yogi agshad,nice game,5,2020-06-11 02:58:50
Diga Cepat,Permainan ini sangat bagus,5,2020-06-10 22:40:41
Irene Paulin,Love it.. quite difficult but interesting,5,2020-06-10 14:10:23
Astrit R,"why does it take so long to recharge, I wait for up to 5 hours but the energy is only 40, what's wrong with this game?",1,2020-06-10 11:00:18
Mifthakhul Jannah,Untuk energyny tolong dipermudah lagi ya over all bagus,5,2020-06-10 09:17:53
Ratna Dian,"Dpt energy ny musti tunggu 1 malam biar full.. Bgitu full pas main, plingan br main 10-15 energy sdh abis.. N musti nunggu lg smlman.. Hadehhh.. Mo dpt tmbhan energy hrs beli/byar.. Ckup 3hr cb main ini, langsung uninstall deh..",1,2020-06-10 08:24:21
aulia riski,"Seru sih gamenya cuma 1 yg kurang harusnya energi refilnya paling ndak dikasih waktu 1mnt apa 5mnt gitu biar full lagi, atau liat iklan. Masa harus instal apk yg lain dulu/dapet achievment biar dapet energi tolong dibenerin lagi",4,2020-06-10 05:24:07
Muay gaming,Good,5,2020-06-10 05:11:46
Gabriel Angga Pariakan,Bagus,4,2020-06-10 02:17:00
Me Mes,Pskindiyaketagiansrl,4,2020-06-09 22:05:24
Satria Angga,Oke,5,2020-06-09 19:01:22
haryani sosronegoro,Ga terlalu susah untuk beginner,5,2020-06-09 07:30:40
Aldi _Nugi,"The ""Energy"" take too long to recover",3,2020-06-09 05:56:53
Dor Kas,acer,5,2020-06-09 01:44:18
Elsa Olivia,"Waktu pengisian energi memerlukan waktu lama, dapat disiasati dengan menonton iklan",4,2020-06-08 14:55:47
Ainur Ramadhan,"Energinya cepet habis, ngisinya lama lagi",1,2020-06-08 10:53:51
yoga utama,Bagus tapi isian tenaga terlalu lama dan cpet habis.. Payah,4,2020-06-08 10:20:47
Anindita Iskabul,Recharge energinya payah bangettt. Giliran udh full berkat nungguin setengah mati ehhh cepet banget habisnya. Untuk grafiknya si worth it. Suaranya juga bagus. Please dipermudah lagi..,3,2020-06-08 10:06:15
Catrien Hellen,game ini bagus. sangat mengasah otak,4,2020-06-08 05:31:35
romatiorida sinaga,Menurut aku bagus tapi kok gak beres beres sih donwlod nya,3,2020-06-08 03:30:39
Hanin Ariyanti,Lumayan,5,2020-06-08 00:57:21
wina rachmawati,"Games seru, cerita menarik",4,2020-06-08 00:23:16
Putra Adi Kusuma Manullang,Nice!! Always make me want to play more and more 👍🏻,5,2020-06-07 18:31:13
Anggis R,Suka sama visual permainannya tapi untuk energi enggak banget kalau bisa dipercepat energinya untuk pulih,4,2020-06-07 16:07:24
Akmal Widyatama Yogaraksa,"Game nya Bagus, ceritanya menarik.",4,2020-06-07 15:13:23
Serli Monita,Kurang ngerti cara maennya gmn,2,2020-06-07 10:36:35
Kustono Klowor,Loka.aja.ajg.b,5,2020-06-07 06:08:07
Pansa Gani,Alur ceritanya bagus.tetapi agak sulit sih lgipun menrutku membingungkan.kalau ajah ada yang bisa bantu,4,2020-06-07 05:27:50
efra yen,Great game hard for me to find things but that's alright I'm on chapter 1. Love it! The energy is so longgggg To refill,4,2020-06-07 02:14:16
Kay_ julio,Keren,4,2020-06-06 22:32:33
Lenovo37 Tab,Good,5,2020-06-06 09:07:26
alissa hermilah,The best game i ever had 👍,5,2020-06-06 08:53:15
Wahyu Tri Agung,"Game ini bagus, hanya saja terkendala sama pengisian energi yang terlalu lama Tolong di permudah untuk mendapatkan energi",4,2020-06-06 06:56:31
Hanin Dito,Sejauh ini game yg menarik,5,2020-06-06 04:34:11
Titin Suryani,Aku kasih bintang 1ajalah masak sudah didonglot nak dimainin malah gak bissa ngabisin paket aja uuh,1,2020-06-06 03:07:36
budiati budiati,Bagus,5,2020-06-05 14:21:52
Titah Emilah,"Game nya bagus, alur ceritanya keren... klo energi habis tinggal tonton aja iklan nya dpt reward energi 20, saya kadang sampe dpt 400... cuma skr semua chapter dan part sudah selesai, chapter baru masih coming soon aja huft...",4,2020-06-04 10:00:29
Esih Esih,Game nya bagussss tapi sayang kuranf nya energi doangg,5,2020-06-02 06:02:25
Endah widyastuti,Saya kasih bintang 5ya soalnya kayaknya keren deh padahal saya belum men-download nya hehehe saya lebih suka main cepat yang bisa main game nya sebelum di download seru banget,5,2020-06-01 23:59:59
Nur aditya Firmansyah,Game nya bagus tapi 1 masalah hanya pada pengisian energinya lama banget kalau mau full,5,2020-06-01 09:03:23
Yu,I like this game,5,2020-05-31 14:44:31
Shooting Star,"Game nya error tadi main tiba tiba ada tulisan ini ""interctive object id 'Church_LuigiFX' not loaded saya kasih bintang satu soalnya masih ada beberapa yg error",1,2020-05-31 04:34:12
Iwan Setiawan,Ok,5,2020-05-30 06:01:05
Brown Cookies,Cool game!!!!!,5,2020-05-28 13:52:39
Novianty,"Knpa yg comingsoon blm ada ya, tlg dong di buka yg comingson nya",2,2020-05-28 07:38:17
sonya avista,"Game nya bagus sih, tapi pengisian energi nya lama banget dan energi nya cepet banget habisnya",3,2020-05-27 09:58:32
Ganni Almukti,Kapan mulai part 3 murdur in the alps,5,2020-05-26 11:58:57
Saputry intan Ayu,Good,5,2020-05-25 14:15:48
Rahma Alya,game nya bagus banget bener bener bagus tapi energi terlalu boros nunggu 1 hari pun cuma dapet dikit dan energi cepat habis.,3,2020-05-23 15:33:30
Andrean Tanoto,Terbaik,5,2020-05-23 07:30:19
Dwi Yunita,Gamenya bagus sih tapi ngisi energinya kelamaan,2,2020-05-22 13:03:31
Saeful Fariz,Love this game so much. tapi energy sangat lama recharge nya. Tolong direvisi thank you,5,2020-05-19 17:57:37
Pu Ni,"Gameplay bagus tdk susah dan tdk terlalu gampang. Story, grafik dan audionya bagus shg terlihat real. Tapi restore energynya sangat lama, terlalu lama. Waktu main jg cuman bbrp menit saja walau energy nya sudah fill. Butuh waktu cukup lama untuk menyelesaikan 1 stagenya.",3,2020-05-19 02:35:19
iin amalia,"Game lumayan bagus, tp dibatasi energi membuat tidak menyenangkan",2,2020-05-17 05:27:15
Pangeran Masa Depan,Good Game,5,2020-05-15 16:26:04
ashri shalihati,Aku suka game ini 😊,5,2020-05-15 13:49:43
O Cc,"SAYANG,,ENERGY CEPAT LOST....🤔🤔😗",5,2020-05-14 03:04:06
Awey Setiawaty,Bagus tapi tolong nyawanya terlalu dikit,3,2020-05-13 13:49:23
Ran Anastasya N,Game yg sungguh luar biasa....sedari dulu sya sngt suka game teka teki bertema kan jaman dulu...kesanya klasik bget tapi elegan .....hufttt...beruntung dapat main ini game....developer semangat terus yah...😄👌🏻📸,5,2020-05-13 04:30:27
_.Feliscia._ #FC,Sorry but why can't i dowload chapter 1 part 3? It's has been a month since i haven't continue the story line,3,2020-05-10 10:48:22
dagangan 2an,Downloading missing content nya lama banget apaan si padahal sinyal mandep,2,2020-05-10 03:40:28
Dina Sari nofiani,Good,4,2020-05-09 23:27:38
Geliza Al Ayyubi,imagination,5,2020-05-09 15:41:04
I am Nobody_-,"I like this games, because the game is cool and thanks for development",5,2020-05-08 15:05:46
Ella Wiffe,Great game.. love to play it,5,2020-05-06 20:48:40
salsabila,Chapter selanjutnya kapan rilis? Jangan terlalu lama rilisnya ngapa sih?,5,2020-05-06 05:46:43
Lambok Parulian,Apk sempak. Ga ada lanjutannya. Jgn download. Nyesel,1,2020-05-05 18:18:46
Asih Setyaningrum,"Game nya bagus banget tapi energi nya lama dapetin nya harus liat video dulu baru dapat 20, ada 3 gak bisa di buka, kapan kelanjutan nya...",5,2020-05-02 15:51:24
Naz Camaraderie,The Best Game ever~~~,5,2020-05-02 14:32:17
Yohani Satya Putri Liman,"Hi there, I like this game but it takes very long time to fill up the energies. Could u please make it to be more fast? I would give u more stars if u can fix that problem. Thank you so much for your attention.",3,2020-05-01 04:17:12
Martha Siahaan,❤❤❤,5,2020-04-30 10:40:37
Pengguna Google,"Gamenya bagus, menarik. Tapi energinya cepat habis",3,2020-04-27 11:05:58
Pengguna Google,Ok lah,4,2020-04-24 13:32:53
Pengguna Google,Energy cepat habis dan terisi sangat lama..,3,2020-04-22 13:14:48
Pengguna Google,I like thks,5,2020-04-22 08:23:20
Pengguna Google,"Gameny bagus tapi sayang pake energi,,,, top deh 👍",5,2020-04-22 00:36:01
Pengguna Google,Tolong diperbaiki reward setelah nonton video. Sudah nonton video tapi g bisa dapat reward.,5,2020-04-19 09:51:26
Pengguna Google,Oke,5,2020-04-19 08:57:27
Pengguna Google,pls update this game i like it very much,5,2020-04-19 06:03:04
Pengguna Google,Ok,5,2020-04-15 17:58:51
Pengguna Google,Oke,5,2020-04-12 10:06:56
Pengguna Google,F-U-C-E-K ENERGY NYA LAMA REFILL NYA ANJG,2,2020-04-11 16:59:40
Pengguna Google,"Grafisnya bagus bgt, cerita oke, sayang energy nya cepet bgt abis :( tapi yaudah lah yaa, free user mah bisa apa wkwk",5,2020-04-11 04:56:52
Pengguna Google,Bagus,5,2020-04-09 12:40:32
Pengguna Google,Incredible ! i love this game so much ! hope you can make another game with another genre like this ! five thumbs up 👌🏻,5,2020-04-07 12:18:16
Pengguna Google,good,5,2020-04-07 07:48:57
Pengguna Google,Nunggu energi nya lama banget,3,2020-04-07 06:25:08
Pengguna Google,"Game sudah bagus, sangat disayangkan energinya lama menunggunya 😂😵😂",3,2020-04-07 00:56:26
Pengguna Google,SERU SEKALEEE,5,2020-04-05 14:01:59
Pengguna Google,Mantul,5,2020-04-05 13:10:57
Pengguna Google,Menarik,3,2020-04-04 18:35:23
Pengguna Google,Bagus cuma energi nya cepat amat habisnya and nunggunya itu lama banget jadi kaya males main jadinya,4,2020-04-04 04:48:00
Pengguna Google,Keren,5,2020-04-02 09:02:27
Pengguna Google,Bagusss,5,2020-03-31 07:08:32
Pengguna Google,Games sampag anjing,1,2020-03-28 15:44:53
Pengguna Google,"Energi.. energi.. kalo bisa full game tanpa energy berbayar pun oke lah. Tp overall game ini masterpiece. Graphic, alur cerita, gameplay gak kaku, atmosphere nya baguss.. sayang energi nya aja bkin kesel.",2,2020-03-28 06:19:14
Pengguna Google,Ba gus tp 🤔,5,2020-03-28 00:03:06
Pengguna Google,"Gamenya bagus cuma part 1 chapter 4, part 2 chapter 4, dan part 3 belum bisa kebuka udah ga sabar nunggu nya niiihh",3,2020-03-25 03:14:01
Pengguna Google,Overall game ini sangat istimewa dibandingkan dengan game lain genre seperti ini. Tapi sayang harus menggunakan energi. I'm so disappointed,1,2020-03-24 18:06:35
Pengguna Google,It cost too much energy and energy recovery are very low. I am not enjoy this game,1,2020-03-24 11:11:03
Pengguna Google,Lama kali ngisi energi nya,5,2020-03-24 06:49:32
Pengguna Google,Krung matul,3,2020-03-21 11:20:27
Pengguna Google,Its so funy,5,2020-03-20 17:07:56
Pengguna Google,Ok,5,2020-03-20 03:05:30
Pengguna Google,Baik,5,2020-03-19 11:55:57
Pengguna Google,Bagus si. Tp energinya cpt hbis,4,2020-03-18 09:49:06
Pengguna Google,Good game,4,2020-03-16 08:36:38
Pengguna Google,"Gamenya bagus, Ceritanya menarik, banyak Interaksinya klo sentuh sesuatu. Kurangnya itu di refill Energy, kelamaan, mungkin agak di percepat aja, 1 menit 1 energi ato 5 menit 3 energi misalnya. Thanks :)",5,2020-03-15 02:11:53
Pengguna Google,👍,4,2020-03-14 03:00:27
Pengguna Google,Game nya bagus bgt aku suka tp energinya yg isi lama,5,2020-03-12 13:00:05
Pengguna Google,Geam butut ¤¤¤¤¤¤¤,1,2020-03-12 08:58:39
Pengguna Google,"Maaf yah cuman ngasih dua, gamenya bagus, alur ceritanya juga menarik namun ketika kehabisan energi harus nunggu lama untuk dapatkan energi laginya, 1 energi durasinya 8 menit, 1 jam cuma dapat 7 sampe 8 energi, kalo nyampe penuh harus nunggu berapa jam, terus ketika bermain terlalu menghabiskan banyak energi, mohon diperbaiki lagi. Sumpah gamenya sangat menarik cuma kekurangannya cuma itu doang. Terima kasih",2,2020-03-11 13:18:04
Pengguna Google,"Bagus pake banget. Tapiii, pengisian energinya sangat lama. Gasuka itu aja:(",3,2020-03-11 11:02:55
