tidak_baku,kata_baku
kmbali,kembali
kmbang,kembang
kmbl,kembali
kmewahan,kemewahan
kmi,kami
kmn,kemana
kmren,kemarin
kmrin,kemarin
kmrn,kemarin
kmu,kamu
kn,kan
knan,kanan
knapa,kenapa
kndung,kandung
kngen,kangen
kngenn,kangen
kngn,kangen
knl,kenal
knlan,kenalan
know,tahu
knp,kenapa
knpa,kenapa
knpp,kenapa
knsul,konsultasi
knyataan,kenyataan
ko,kok
kobul,kabul
kocaaaak,kocak
kocaaaakkk,kocak
kocakkk,kocak
kocakkkkkk,kocak
kocakkkkkkkkkkkkkk,kocak
koclak,kocak
kog,kok
kokkk,kok
kokohh,engkoh
komen,komentar
komen2,komen-komen
komen2an,komen-komenan
komenan,komentar
komenannya,komentarnya
koment,komentar
komentar2,komentar-komentar
komentarin,komentari
komentarin,mengomentari
komentnya,komentarnya
komenx,komennya
komntr,komentar
komuk,muka
komunitas2,komunitas-komunitas
konputer,komputer
konsekwensi,konsekuensi
konsul,konsultasi
kontak2,kontak-kontak
konten2,konten-konten
koplak,kocak
koplakkk,koplak
koq,kok
korek2,korek-korek
kostom,kostum
kox,kok
kpada,kepada
kpan,kapan
kpancing,terpancing
kpd,kepada
kpleset,kepleset
kpn,kapan
kpn2,kapan-kapan
kpnpun,kapanpun
kpuasan,kepuasan
kq,kok
kqmu,kamu
kr,kira
kra,kira
kraya,karya
kreative,kreatif
kreean,keren
kreeenn,keren
kreen,keren
kren,keren
krena,karena
krenn,keren
krg,kurang
kri,kiri
kriput,keriput
krjaan,pekerjaan
krm,kirim
krmh,ke rumah
krn,karena
krna,karena
krng,kurang
krpoooo,kepo
krudung,kerudung
krudungan,kerudungan
krus,kurus
krya,karya
ksenangan,kesenangan
ksh,kasih
ksih,kasih
ksini,kesini
ksitu,kesitu
kslahan,kesalahan
kslhn,kesalahan
ksni,kesini
ksukaanmuuu,kesukaanmu
ksyngn,kesayangan
kt,kita
kt2,kata-kata
kta,kata
kta,kita
ktaa,kita
ktaatan,ketaatan
ktanya,katanya
ktawa,ketawa
ktemu,ketemu
ktergantungan,ketergantungan
ktg,kita
ktika,ketika
ktmu,ketemu
ktny,katanya
ktnya,katanya
ktwa,ketawa
kuaaatt,kuat
kualutas,kualitas
kuatttt,kuat
kubarikan,kuberikan
kucing'y,kucingnya
kudah,sudah
kudu,harus
kueren2,keren-keren
kuliyh,kuliah
kumpulin,kumpulkan
kunaikkan,naikkan
kuninggg,kuning
kuningggg,kuning
kunjungin,kunjungi
kura2,kura-kura
kuranf,kurang
kurangin,kurangi
kurangya,kurangnya
kureeeen,keren
kurng,kurang
kusem,kusam
kususnya,khususnya
kutuu,kutu
kuu,ku
kuy,yuk
kuyy,yuk
kuyyy,yuk
kw,kau
kwatir,kawatir
kx,kak
ky,kaya
kya,kaya
kyak,kayak
kyaknya,kayaknya
kyanya,kayanya
kyax,kayak
kyk,kayak
kyk,seperti
kyk.a,kayaknya
kyknya,kayaknya
kyy,kaya
kzl,kesal
la,lah
laa,lah
laaaah,lah
lack,kurang
lacking,kekurangan
ladenin,meladeni
laen,lain
laenny,lainnya
lafazd,lafaz
lagicuma,lagi cuma
lagiehhh,lagi ehhh
lagienerginya,lagi energinya
lagihh,lagi
lagii,lagi
lagiii,lagi
lagiiii,lagi
lagikalo,lagi kalau
laginy,laginya
lagu'y,lagunya
lagu2,lagu-lagu
lagu2nya,lagu-lagunya
lahh,lah
lahhh,lah
lahhhhhh,lah
lahirr,lahir
lainnn,lain
lainnyaa,lainnya
lainnyamenurutku,lainnya menurutku
lairannya,kelahirannya
"laki""",laki-laki
laki2,laki-laki
lakik,laki
"laku""",laku-laku
lakuin,melakukan
lama2,lama-lama
lamaa,lama
lamaaa,lama
lamaaaa,lama
lamaaaaa,lama
lamaaaaaa,lama
lamaaaaaaaa,lama
lamaaaaaaaaa,lama
lamaaaaaaaaaaa,lama
lamaan,lama an
lamabeberapa,lama beberapa
lamadan,lama dan
lamajadi,lama jadi
lamapadahal,lama padahal
lamasomusti,lama so musti
lancr,lancar
langgengggg,langgeng
langgenh,langgeng
language,bahasa
languagesso,bahasa sso
langue,bahasa
lanjutin,lanjutkan
lanjutkaaaaan,lanjutkan
lanjutpdhl,lanjut padahal
lapakk,lapak
laptopcoba,laptop coba
last,terakhir
latian,latihan
lau,kau
lawaaaas,lawas
lazy,malas
lbh,lebih
lbih,lebih
lbihh,lebih
lcu,lucu
le,boleh
learning,belajar
leave,tinggalkan
lebar2,lebar-lebar
lebayy,lebay
lebh,lebih
ledekin,ledeki
ledkin,meledeki
legit,asli
leh,boleh
lekong,laki
lengkapp,lengkap
lengkeeett,lengket
lenje,lenjeh
lepasin,melepas
lernah,pernah
less,kurang
levelw,level w
lg,lagi
lggeng,langgeng
lggi,lagi
lgi,lagi
lgipun,lagi pun
lgkah2,langkah-langkah
lgs,langsung
lgsg,langsung
lgsung,langsung
lgu,lagu
lgunya,lagunya
lh,lah
lh,boleh
lha,lah
lhat,lihat
lhir,lahir
lhirr,lahir
lhoo,loh
lhooo,loh
lht,lihat
liaat,lihat
liaatt,lihat
liad,lihat
liat,lihat
liat'y,lihatnya
liat2,lihat-lihat
liatiii,lihat
liatin,memperlihatkan
liatin,perlihatkan
liatlah,lihatlah
liatnya,lihatnya
liatnyaaa,lihatnya
liatt,lihat
liattt,lihat
life,hidup
lihaat,lihat
lihaatttt,lihat
liht,lihat
like,suka
liked,disukai
likeit,suka itu
likes,suka
lil,sedikit
limayan,lima yan
limit,batas
limited,terbatas
line,garis
lines,garis-garis
links,tautan
lipetan,lipatan
liptsk,lipstik
list,daftar
listening,mendengarkan
little,sedikit
liyat,lihat
liyatnya,lihatnya
lkuin,lakukan
llki,lelaki
lluu,lu
lluuccuu,lucu
lm,lama
lma,lama
lmadn,lama dan
lngsing,langsing
lngsung,langsung
lnjut,lanjut
lnjutannya,lanjutannya
lo,kamu
loaded,dimuat
loading,memuat
loadingwhat,loading what
lodiang,loading
loding,loading
loe,lo
lohh,loh
lohh,lo
lohhh,loh
lohhhh,loh
lokaajaajgb,loka aja ajg
lokasi,lokasi
loksyut,lokasi syuting
loncatt,loncat
loncattt,loncat
long,panjang
longer,lebih panjang
longg,panjang
longgggg,panjang
loo,loh
loo,lo
looh,loh
loohhh,loh
looking,mencari
looks,terlihat
looo,loh
loooh,loh
looohh,loh
looong,panjang
lossing,kehilangan
lost,hilang
lot,banyak
loud,keras
love,cinta
loved,dicintai
loveee,cinta
lovely,indah
loving,mencintai
low,rendah
lsg,langsung
lt,lantai
lu,kamu
luaarrr,luar
luang,luang
luccu,lucu
luchu,lucu
luck,keberuntungan
luco,lucu
lucu2,lucu-lucu
lucuk,lucu
lucukkkkk,lucu
lucunaaa,lucunya
lucunyah,lucunya
lucuu,lucu
lucuukk,lucu
lucuuu,lucu
lucuuuk,lucu
lucuuuu,lucu
lucuuuuu,lucu
lucuuuuuuuu,lucu
lucuuuuuuuuuu,lucu
lucux,lucunya
luh,lu
luhhh,lu
lumyan,lumayan
lupain,melupakan
lurusin,meluruskan
luthuna,lucunya
lutu,lucu
lutuna,lucunya
lutunaa,lucunya
lutunaaa,lucunya
luu,lu
luucuuu,lucu
luuuaar,luar
luuuucuuu,lucu
lw,lu
lw,kalau
lwt,lewat
lyt,lihat
m,sama
ma,sama
maaasss,mas
maacih,terima kasih
maafin,memaafi
maak,mak
maap,maaf
maapin,maaf
maapin,maafi
maau,mau
maauuu,mau
macam2,macam-macam
macem,macam
macem2,macam-macam
maen,main
maennya,mainnya
maenya,mainnya
mah,hanya
mahall,mahal
mahh,mah
mahhhh,mah
maho,manusia homo
mahsooo,mahal so
mai,mau
main2,main-main
mainbagi,main bagi
mainkartu,main kartu
mainuda,main uda
mainya,mainnya
majestic,megah
majuuu,maju
makany,makanya
makanyaa,makanya
makasi,terima kasih
makasih,terima kasih
make,memakai
make,pakai
makes,membuat
"maki""",maki-maki
making,membuat
makkk,mak
makny,maknya
maksa,paksa
maksain,memaksakan
maksd,maksud
maksih,terima kasih
maksir,menaksir
maksutku,maksudku
malangg,malang
malem,malam
males,malas
malh,malah
malingg,maling
malsudnya,maksudnya
malu2in,malu-malui
maluu,malu
maluuu,malu
maluuuu,malu
mama.nyy,mamanya
mamas,mas
mamax,mamanya
mamer,memamerkan
mampuussss,mampus
mampuuu,mampu
management,manajemen
mancing2,memancing-mancing
mancungin,memancungkan
mandep,mandek
mandiin,memandikan
mang,memang
manggil,panggil
manisnyaaaa,manisnya
manisss,manis
manjain,memanjakan
mansetan,bermanset
mansyoallah,masyaallah
manta,mantan
mantaaap,mantap
mantaaapppp,mantap
mantaap,mantap
mantab,mantap
mantabb,mantab
mantabs,mantab
mantaff,mantap
mantanny,mantannya
mantapp,mantap
mantappp,mantap
mantapppp,mantap
mantapppppp,mantap
mantaptp,mantap tapi
manteb,mantap
manteep,mantap
mantep,mantap
mantepp,mantap
manteppp,mantap
mantes,memantas
mantull,mantul
manusiy,manusia
many,banyak
mao,mau
marah2,marah-marah
marah2an,marah-marahan
marh,marah
markotop,terbaik
martabakk,martabak
marvelous,luar biasa
masa2,masa-masa
masaaaa,masa
masalahh,masalah
masi,masih
"masing""",masing-masing
masing2,masih
masing2,masing-masing
masio,masih
maslah,masalah
maso,masa
mass,massa
massss,mas
masterpiece,mahakarya
masukin,memasukkan
masukin,memasuki
masukin,masukkan
masyaallahhh,masyaallah
masyarakay,masyarakat
mata'y,matanya
matany,matanya
mataq,mataku
mateeeeeeeeeeee,mati
mateeeek,mati
"mati""an",mati-matian
matii,mati
mato,mata
mattihhh,mati
matul,mantul
mauu,mau
mauuu,mau
mauuuu,mau
mauuuuu,mau
mauuuuuu,mau
mauuuuuuu,mau
maw,mau
max,maksimal
may,mau
may,mungkin
mayan,lumayan
mayann,lumayan
maybe,mungkin
mb,mbak
mba,mbak
"mba""",mbak-mbak
mbaa,mbak
mbaaa,mbak
mbaaahhh,mbah
mbaaass,mbak
mbaak,mbak
mbaakk,mbak
mbahh,mbah
"mbak""",mbak-mbak
mbak2,mbak-mbak
mbaknyaahh,mbaknya
mbakx,mbaknya
mbanya,mbaknya
mbg,mbak
mbil,sambil
mbk,mbak
mblo,jomblo
mblooo,jomblo
mboizzz,bois
mbuh,embuh
mcm,macam
"mdh""",mudah-mudah
mdh2an,mudah-mudahan
mdh2n,mudah-mudahan
me,saya
mean,maksud
means,berarti
meanwhile,sementara itu
mebgasah,mengasah
mecahin,memecahkan
megang,memegang
meh,kurang
mehoonggggg,mahal
meker,mikir
melahirin,melahirkan
melakukn,melakukan
melebihin,melebihi
melihara,memelihara
meluk,memeluk
memainkanya,memainkannya
"membanding""",membanding-banding
membingung,membingungkan
membingungkankalau,membingungkan kalau
memecahkn,memecahkan
memories,kenangan
menarikk,menarik
menariksayang,menarik sayang
menariktpi,menarik tapi
menasehati,menasihati
menbelah,membelah
mendam,memendam
mendapatkn,mendapatkan
mending,lebih baik
mendj,menjadi
mendownload,mengunduh
menegerti,mengerti
mengait2kan,mengait-ngaitkan
mengalahkn,mengalahkan
mengasyikan,mengasyikkan
mengherthii,mengerti
menghiburr,menghibur
menghilangkn,menghilangkan
mengikutii,mengikuti
mengirusi,mengurusi
mengncang,mengencang
mengperbolehkan,memperbolehkan
menitkelamaan,menit kelamaan
menjdi,menjadi
menjelekan,menjelekkan
menrutku,menurutku
"mentah""",mentah-mentah
"mentang""",mentang-mentang
menurur,menurut
menyebut2,menyebut-nyebut
menyenang,menyenangkan
menyenangkn,menyenangkan
meranin,memerankan
mereka2,mereka-mereka
merekaa,mereka
merekaaaa,mereka
merekak,mereka
meriahh,meriah
merindinggg,merinding
merka,mereka
merrid,merit
mesrany,mesranya
met,selamat
meyenangkan,menyenangkan
mf,maaf
mff,maaf
mg,moga
mgk,mungkin
mgkin,mungkin
mgkn,mungkin
mh,mah
miara,memiara
middle,tengah
mikir,pikir
mikir2,memikir-mikir
mikirin,memikirkan
mikirinnn,memikirkan
milih,memilih
milikin,memiliki
milking,memerah susu
mimin,admin
mimpiii,mimpi
min,minimal
mind,pikiran
mindblowing,menakjubkan
mines,tambang
minpi,mimpi
minta,meminta
mintk,minta
minute,menit
minutes,menit
minuteso,menit so
"minyak""an",minyak-minyakan
miriiiiip,mirip
miriiiip,mirip
miriiippp,mirip
miriip,mirip
miring2,miring-miring
miriplahhhhhh,miriplah
miripp,mirip
mirippp,mirip
miripppp,mirip
mirp,mirip
miss,rindu
missing,hilang
misterimisteri,misteri-misteri
mistery,misteri
mitnah,memfitnah
mixing,mencampur
mk,maka
mk.a,makanya
mkanya,makanya
mkin,makin
mkir,memikir
mkn,makin
mkn,makan
mknya,makanya
mks,terima kasih
mksd,maksud
mksdku,maksudku
mksdny,maksudnya
mksdnya,maksudnya
mksdx,maksudnya
mksh,terima kasih
mksih,terima kasih
mkst,maksud
mksud,maksud
mlah,malah
mlepaskan,melepaskan
mlh,malah
mlikk,milik
mlm,malam
mls,malas
mlt.a,mulutnya
mlu,malu
mlu,melulu
mlz,malas
mmang,memang
mmbanggakan,membanggakan
mmbela,membela
mmberi,memberi
mmberikan,memberikan
mmberikn,memberikan
mmbodohkan,membodohkan
mmg,memang
mmperbaiki,memperbaiki
mmz,mas
mn,mana
mna,mana
mnambh,menambah
mncoba,mencoba
mndapatkan,mendapatkan
mndaptkan,mendapatkan
mnding,mending
mndpat,mendapat
mndpt,mendapat
mnerima,menerima
mngasi,mengasih
mngerti,mengerti
mnghina,menghina
mngikuti,mengikuti
mngira,mengira
mngkannya,mangkanya
mngkin,mungkin
mnikmati,menikmati
mnilai,menilai
mnis2nya,manis-manisnya
mnisss,manis
mnit,menit
mnjadi,menjadi
mnjawab,menjawab
mnjdi,menjadi
mnjdkan,menjadikan
mnjijikaaaaaan,menjijikkan
mnjmput,menjemput
mnjual,menjual
mnrtkuu,menurutku
mnt,minta
mnt,menit
mnta,minta
mntaap,mantap
mntap,mantap
mntn,mantan
mnusuk,menusuk
mnutup,menutup
mo,mau
model2,model-model
modes,modis
moga,semoga
mohom,mohon
momento,momen
monotonteka,monoton teka
month,bulan
months,bulan
mood,suasana hati
moqa,moga
more,lebih
most,paling
motret,memotret
movement,gerakan
movie,film
moviemurder,film pembunuhan
mrah,marah
mrangkul,merangkul
mreka,mereka
mrekaa,mereka
mrekaaaa,mereka
mrip,mirip
mrit,merit
mrk,mereka
mrka,mereka
mrnghadapi,menghadapi
mrusak,merusak
ms,masih
ms,ms
"ms""",masa-masa
msa,masa
msalah,masalah
msg2,masing-masing
msh,masih
msih,masih
msk,masuk
mskasih,terima kasih
msknya,masaknya
mslh,masalah
mslhnya,masalahnya
mst,mesti
msuk,masuk
mtanya,matanya
mti,mati
muali,mulai
mualll,mual
muantaap,mantap
muantep,mantap
muantteepp,mantap
much,banyak
muchh,banyak
mudaa,muda
"mudah""an",mudah-mudahan
"mudah""n",mudah-mudahan
mudah2,mudah-mudah
mudah2an,mudah-mudahan
mudah2n,mudah-mudahan
mudahan,semoga
"mudh""an",mudah-mudahan
muga,moga
"muka""",muka-muka
muka2,muka-muka
mukae,mukanya
mukanyaa,mukanya
mukax,mukanya
muke,muka
muliany,mulianya
mulu,melulu
mulusssss,mulus
mulut2,mulut-mulut
mulutny,mulutnya
mulutnyaaa,mulutnya
muluuu,melulu
muna,munafik
munaafikk,munafik
munafikk,munafik
mungki,mungkin
mungkiin,mungkin
mupeng,muka pengin
muraaaaah,murah
murahhh,murah
murder,pembunuhan
murders,pembunuhan
murdur,pembunuhan
murhan,murahan
murmer,murah meriah
must,harus
musti,mesti
mutar,putar
muter,putar
mutihin,memutihkan
mutuain,memutuskan
mutusin,memutuskan
muuuu,mu
mw,mau
my,saya
mybe,maybe
mysteries,misteri
mysterious,misterius
mystery,misteri
mz,mas
na,nya
naaaa,nya
naaaaahh,nah
naaaak,nak
naaahhh,nah
naek,naik
nafass,nafas
nafkahin,menafkahi
naggung,menanggung
nagiss,menangis
nahan,menahan
nahannnn,tahan
nahh,nah
nahhh,nah
nais,nice
naise,nice
najiss,najis
naka,nakal
naksir,menaksir
nakutin,menakutkan
nama.a,namanya
nama'in,namai
"nama""",nama-nama
namain,menamai
namain,namai
namany,namanya
namax,namanya
nambah,bertambah
nambah,menambah
nambah,tambah
nambahh,bertambah
nambahin,tambahkan
nambahnya,tambahnya
named,bernama
namnya,namanya
nampak,menampak
nampar,menampar
nanget,banget
nanggepin,menanggapi
nangiiiiis,menangis
nangiiis,menangis
nangiis,menangis
nangis,menangis
"nangis""",menangis-nangis
nangiss,menangis
nangisss,menangis
nantangin,menantang
nantii,nanti
nantiii,nanti
nantik,nanti
nanya,tanya
nanya,bertanya
napa,kenapa
napsuu,napsu
nari,menari
narik,menarik
nasehatin,menasihati
natap,menatap
naturalllll,natural
nawarin,menawari
nayse,nice
ncek,encek
nd,indak
nda,indak
ndak,indak
ndak,tidak
ndukung,mendukung
ndut,gendut
ne,ini
neat,rapi
nebak,nebak
nee,ini
need,perlu
needs,kebutuhan
negri,negeri
neh,nih
neko2,neko-neko
nembak,menembak
nempel,menempel
nemu,temu
nemuin,menemukan
"nenek""",nenek-nenek
nenek2,nenek-nenek
nengok,menengok
nentuin,menentukan
nerawang,menerawang
nerima,menerima
nerusin,meneruskan
netaas,menetas
netes,menetes
network,jaringan
never,tidak pernah
new,baru
newbie,pemula
next,berikutnya
nga,tidak
ngabisin,habiskan
ngabisinnya,habiskan
ngaca,mengaca
ngacaaa,mengaca
ngaco,mengaco
ngadain,mengadakan
ngademin,mengademkan
ngadi,ngadi
ngadu,mengadu
ngajak,mengajak
ngajar,mengajar
ngajarin,mengajari
ngaji,mengaji
ngajuin,mengajukan
ngak,tidak
ngakaaaakkk,mengakak
ngakak,mengakak
ngakakkk,mengakak
ngaku,mengaku
"ngaku""",mengaku-ngaku
ngalah,mengalah
ngalahin,mengalahkan
ngalir,mengalir
ngalirrrrr,mengalir
ngamatin,mengamati
ngambek,mengambek
ngambekan,ambekan
ngambeknya,mengambeknya
nganbek,mengambek
nganggepin,menanggapi
ngantar,mengantar
nganteng,ganteng
nganterin,mengantarkan
ngantri,mengantri
ngapa,kenapa
ngapain,mengapai
ngapain,mengapa
ngapasih,mengapa sih
ngapus,menghapus
ngarang,mengarang
ngarep,mengharap
ngareppppp,mengharap
ngarsipin,mengarsipkan
ngasah,asah
ngasi,mengasih
ngasih,mengasih
ngasih,kasih
ngasih2,mengasih-ngasih
ngata2in,mengata-ngatai
ngata2in,mengatai-ngatai
ngatai,mengatai
ngatain,mengatai
ngatur,mengatur
ngayal,mengkhayal
ngcpin,mengucapkan
ngebala,bala
ngebales,membalas
ngebantu,membantu
ngebedain,membedakan
ngebela,membela
ngebelain,membela
ngebenci,membenci
ngebiarin,membiarkan
ngeblank,blank
ngebolehin,membolehkan
ngebosenin,membosankan
ngeboseninpokoknya,membosankan pokoknya
ngebuat,buat
ngebug,bug
ngebuktiin,membuktikan
ngecek,mengecek
ngecharge,charge
ngecheck,check
nged,banget
ngeditnya,mengeditnya
ngedukung,mendukung
ngefans,fan
ngefreeze,freeze
ngegame,main game
ngegampar,menggampar
ngegantiin,menggantikan
ngegemesin,menggemaskan
ngegmesin,menggemaskan
ngeh,engah
ngehabisin,habiskan
ngehakimi,menghakimi
ngehancurin,menghancurkan
ngehina,menghina
ngehujat,menghujat
ngeidealin,mengidealkan
ngejatuhin,manjatuhkan
ngejelek,menjelekkan
ngejelek2in,menjelek-jelekkan
ngejilat,menjilat
ngejuangin,memperjuangkan
ngekeh,kekeh
ngekek,mengekek
ngeklik,klik
ngelag,lag
ngelahirin,melahirkan
ngelakuin,melakukan
ngelaporin,melaporkan
ngelarang,melarang
ngelawak,melawak
ngelawan,melawan
ngelewati,melewati
ngeliat,melihat
ngeliatin,melihati
ngeliatnya,melihatnya
ngelihat,melihat
ngelihat,lihat
ngelihatnya,melihatnya
ngeluarin,mengeluarkan
ngeluarin,keluarkan
ngelucu,melucu
ngeluh,ngelu
ngembali,kembali
ngemeng,mengomong
ngepake',memakai
ngepoin,mengepoi
ngerampas,merampas
ngerasa,merasa
ngerasa,rasa
ngerasain,merasai
ngerayain,merayakan
ngerebut,merebut
"ngerebut""",merebut-rebut
ngerendahin,merendahkan
ngerespon,merespons
ngeri2,ngeri-ngeri
ngerii,ngeri
ngeriiiiii,ngeri
ngerjain,kerjakan
ngerrrriiii,ngeri
ngerti,mengerti
ngertii,mengerti
ngertiin,mengerti
ngerussak,merusak
ngeselin,mengesalkan
ngeselin,menyebalkan
ngestuck,stuck
nget,banget
ngetik,mengetik
ngets,banget
ngetsz,banget
ngettt,banget
ngeuh,engah
ngfans,fan
ngg,tidak
ngga,tidak
nggak,tidak
nggali,menggali
nggeh,engah
ngggk,tidak
nggk,tidak
ngidam,mengidam
ngikutin,mengikuti
ngilang,menghilang
ngilangin,menghilangkan
ngilerrrr,mengiler
ngimpi,mimpi
ngingetin,mengingatkan
nginjek,menginjak
ngintilin,mengintil
ngintip,mengintip
ngiri,mengiri
ngiriii,mengiri
ngirim,mengirim
ngiringan,mengiringi
ngiritya,mengiritnya
ngisi,isi
ngisiny,isinya
ngisinya,isinya
ngisinyaa,isinya
ngisix,isinya
ngitem,menghitam
ngk,tidak
ngkkkkkk,mengakak
ngmg,mengomong
ngmgin,mengomongkan
ngmng,mengomong
ngmngin,mengomongkan
ngmngnya,mengomongnya
ngobrol,mengobrol
ngoceh,mengoceh
ngocok,mengocok
ngolokin,mengolok
ngom,mengomong
ngomen,mengomentari
ngomenin,mengomentari
ngomentarin,mengomentari
ngomentnya,mengomentarinya
ngomng,mengomong
ngomomg,mengomong
ngomong,mengomong
ngomong,omong
"ngomong""",ngomong-ngomong
ngomongin,mengomongkan
ngomongnya,mengomongnya
ngorbanin,mengorbankan
ngp,mengapa
ngrasain,merasai
ngrebut,merebut
ngri,negeri
ngriii,mengiri
ngrti,mengerti
ngrusak,merusak
ngrusin,mengurusi
ngtain,mengatai
ngtif,negatif
ngubah,ubah
nguburin,menguburkan
ngucapin,mengucapkan
ngulangin,mengulangi
ngumbar,mengumbar
ngumbar2,mengumbar-umbar
ngumpat2,mengumpat-ngumpat
"ngumpet""",mengumpet-ngumpet
ngumpulin,kumpulkan
ngumung,mengomong
ngungkapin,ungkapin
ngungkit2,mengungkit-ungkit
nguras,kuras
ngurus,mengurus
ngurusan,mengurusi
ngurusin,mengurusi
ngurusin,mengurus
nh,nih
nha,nya
ni,ini
ni,nih
nice,bagus
nich,nih
nie,ini
nie,nih
nih2,nih-nih
nihh,nih
nihhh,nih
nii,ini
niih,nih
niihh,nih
niiih,nih
niiihh,nih
niiihh,ini
niiiihh,nih
nikaah,nikah
nikahin,menikahi
nikmatin,menikmati
nilai2,nilai-nilai
nimpuk,menimpuk
ninggalin,meninggalkan
ninggiin,meninggikan
niru,meniru
niyyyyhhhh,nih
njay,anjay
njayyy,anjay
njerr,anjir
njiirr,anjir
njir,anjir
njirr,anjir
njirrr,anjir
njrittt,anjir
nm,nama
nmbah,bertambah
nmbah,menambah
nmbk,menembak
nmnya,namanya
nmpk,nampak
nmr,nomor
nnt,nanti
nnti,nanti
nntisaya,nanti saya
nntn,menonton
nnton,menonton
nnton,nonton
no,tidak
nobar,menonton bareng
nobodies,tidak ada
nolongin,menolong
nonton,menonton
nontonnnn,menonton
nontonny,menontonnya
nontonx,menontonnya
nontonya,menontonnya
nontoonnn,menonton
not,tidak
nothing,tidak ada
nothink,tidak berpikir
notice,perhatikan
notif,notifikasi
notification,notifikasi
novembr,november
now,sekarang
nraktir,mentraktir
nrka,neraka
nt,nanti
ntab,mantab
ntaf,mantap
ntah,entah
ntap,mantap
ntappp,mantap
ntapsss,mantap
ntar,entar
ntar,nanti
nti,nanti
ntik,cantik
ntikk,cantik
ntn,menonton
nton,menonton
ntr,entar
ntr,nanti
nuduh,menuduh
nulis,menulis
nulis,tulis
nunduk,menunduk
nunggu,menunggu
nunggu,tunggu
nungguin,menunggu
nungguin,menunggu
nungguinya,menunggu
nunggunya,menunggu
nuntut,menuntut
nusuk,menusuk
"nutup""in",menutup-nutupi
nutupin,menutupi
ny,nya
nya,ya
nyaa,nya
nyaaa,nya
nyaaaa,nya
nyaaaaaaa,nya
nyaaaaaaaaa,nya
nyaaaaaaaaaaaaa,nya
nyaalurnya,nya alurnya
nyaamudahan,nya mudah-mudahan
nyabaru,nya baru
nyacuman,nya cuman
nyadar,menyadari
nyadar,sadar
nyadar,menyadar
nyah,nya
nyajadi,nya jadi
nyakarna,nya karena
nyakitin,menyakiti
nyakl,nya kalau
nyalahin,menyalahkan
nyamain,menyamakan
nyambet,menyambat
nyambung,menyambung
nyambungin,menyambung
nyampah,menyampah
nyampe,sampai
nyampein,menyampaikan
nyampek,sampai
nyampenya,sampainya
nyang,yang
nyangka,menyangka
nyangka,kira
nyangkaa,menyangka
nyangkutnya,menyangkutnya
nyanyiin,menyanyikan
nyanyiin,nyanyikan
nyanyiin,menyanyi
nyaranin,menyarankan
nyaranin,menyarani
nyari,mencari
nyari,cari
nyaru,menyaru
nyasemua,nya semua
nyaseruuuu,nya seru
nyatakan,menyatakan
nyatok,mencatok
nyebelin,menyebalkan
nyebur,mencebur
nyebut2,menyebut-nyebut
nyebutin,menyebutkan
nyela,mencela
nyelesaiin,selesaikan
nyelesain,menyelesaikan
nyelesian,selesaikan
nyempetin,menyempatkan
nyender,menyandar
nyenengin,menyenangkan
nyengir,menyengir
nyeniii,menyeni
nyeplak,menjiplak
nyerang,menyerang
nyerocooooos,mencerocos
nyerocos,mencerocos
nyesek,menyesak
nyesel,menyesal
nyesel,sesal
nyesell,menyesal
nyet,monyet
nyia2in,menyia-nyiakan
nyimak,menyimak
nyimpen,menyimpan
nyindir,menyindir
nyindirin,menyindir
nyinyirin,nyinyir
nyir2,nyinyir
nyo,nya
nyoba,mencoba
nyoba,coba
nyobain,mencoba
nyobain,cobain
nyobatop,coba top
nyok,yuk
nyolong,mencolong
nyolot,menyolot
nyolotinnnn,menyolot
nyta,nyata
nyubit,mencubit
nyubitt,mencubit
nyupir,menyopir
nyusahhin,menyusahkan
nyusahin,menyusahkan
nyusul,menyusul
oalaaaa,walah
objeck,objek
object,objek
objects,objek-objek
obyek,objek
oce,oke
of,dari
ofline,offline
oh,oh
ohh,oh
ohhhh,oh
okat,ok
okay,ok
oke,ok
okee,ok
okeee,ok
okeeee,ok
okelah,okelah
okey,ok
okgood,ok good
oklah,ok
okokok,ok
oks,ok
okudah,ok sudah
oles2,oles-oles
oma2,oma-oma
omaaaaaaakk,oma
omdo,omong doang
omongin,mengomongkan
omongin,omongkan
on,pada
one,satu
ongkiir,ongkir
ongkirr,ongkir
onlinetenaganya,online tenaganya
only,hanya
ono,sono
onoh,sono
ooh,oh
oom,om
oooh,oh
oopss,ups
open,buka
opened,dibuka
oplas,operasi plastik
oprasi,operasi
oprasiya,operasinya
option,pilihan
or,orang
or,atau
orabg,orang
"orang""",orang-orang
"orang""nya",orang-orangnya
orang2,orang-orang
orangg,orang
org,orang
org,organisasi
org2,orang-orang
orgny,orangnya
orgtuanya,orang tuanya
ori,orisinal
orient,orientasi
orlaen,kerjakan
orng,orang
orrunya,orang tuanya
ortu,orang tua
ortuny,orang tuanya
ortunya,orang tuanya
otaaaakkkk,otak
other,lain
others,lainnya
otot2,otot-otot
our,kita
out,keluar
over,selesai
overall,keseluruhan
overcutscenealur,over cutscene alur
overnight,semalaman
overwhelming,luar biasa
owalaah,walah
owh,oh
own,sendiri
oya,iya
pa,apa
pa2,apa-apa
paaak,pak
paati,pasti
pacara,pacaran
pacarane,pacarannya
pacaranya,pacarannya
pacarn,pacaran
pacarnyaa,pacarnya
pacarr,pacar
pacarrr,pacar
pack,paket
padahall,padahal
padahl,padahal
padet,padat
